Plateforme,Asset,Quote,Datetime
Coinbase,btc_eur,8887.84,1600942049.728091
Coinbase,btc_eur,8885.69,1600942052.822521
Coinbase,eth_usd,328.2,1600942053.657764
Coinbase,btc_usd,10325.02,1600942058.539226
Coinbase,btc_eur,8886.66,1600942058.893243
Coinbase,btc_eur,8886.1,1600942060.261667
Coinbase,btc_usd,10325.02,1600942060.299348
Coinbase,btc_eur,8885,1600942062.880722
Coinbase,btc_eur,8884.67,1600942062.881284
Coinbase,btc_usd,10325.02,1600942063.724319
Coinbase,eth_usd,328.2,1600942072.180333
Coinbase,eth_usd,328.2,1600942072.180951
Coinbase,eth_usd,328.2,1600942072.18137
Coinbase,btc_eur,8886.07,1600942073.15527
Coinbase,btc_eur,8886.07,1600942073.155877
Coinbase,btc_eur,8886.1,1600942073.156328
Coinbase,btc_eur,8886.1,1600942073.783224
Coinbase,btc_eur,8886.68,1600942073.783806
Coinbase,btc_eur,8886.68,1600942074.978091
Coinbase,btc_eur,8886.68,1600942074.978708
Coinbase,btc_eur,8886.69,1600942074.979851
Coinbase,btc_eur,8887.36,1600942074.980288
Coinbase,btc_usd,10325.02,1600942076.811356
Coinbase,btc_usd,10325.02,1600942077.363244
Coinbase,eth_usd,328.43,1600942079.144841
Coinbase,btc_eur,8887.61,1600942081.095217
Coinbase,eth_usd,328.43,1600942081.187807
Coinbase,eth_usd,328.43,1600942081.188327
Coinbase,eth_eur,282.74,1600942081.611945
Coinbase,eth_eur,282.74,1600942083.609255
Coinbase,btc_usd,10325.02,1600942084.078481
Coinbase,eth_usd,328.43,1600942084.28297
Coinbase,eth_usd,328.43,1600942084.283587
Coinbase,eth_usd,328.43,1600942084.284
Coinbase,eth_usd,328.43,1600942084.285086
Coinbase,eth_usd,328.43,1600942084.285504
Coinbase,btc_usd,10325.02,1600942086.068038
Coinbase,btc_usd,10325.02,1600942088.996629
Coinbase,btc_eur,8887.61,1600942089.715257
Coinbase,btc_usd,10325.02,1600942097.73657
Coinbase,btc_usd,10325.02,1600942098.974916
Coinbase,btc_eur,8889.66,1600942102.172228
Coinbase,btc_eur,8889.62,1600942106.592662
Coinbase,btc_eur,8889.93,1600942106.593308
Coinbase,btc_usd,10325.02,1600942107.785569
Coinbase,btc_eur,8887.63,1600942108.033741
Coinbase,eth_usd,328.43,1600942108.1407
Coinbase,eth_usd,328.43,1600942108.141851
Coinbase,eth_usd,328.43,1600942108.485352
Coinbase,eth_usd,328.43,1600942108.487943
Coinbase,eth_usd,328.43,1600942108.488373
Coinbase,eth_usd,328.43,1600942108.488788
Coinbase,eth_usd,328.43,1600942108.48957
Coinbase,eth_usd,328.43,1600942108.490654
Coinbase,eth_usd,328.43,1600942108.4911
Coinbase,eth_usd,328.43,1600942108.493944
Coinbase,eth_eur,282.65,1600942108.570901
Coinbase,btc_eur,8889.68,1600942111.932345
Coinbase,btc_eur,8888.27,1600942112.654
Coinbase,eth_usd,328.43,1600942113.678658
Coinbase,eth_usd,328.43,1600942113.679291
Coinbase,eth_usd,328.43,1600942113.680434
Coinbase,eth_usd,328.43,1600942113.680872
Coinbase,btc_usd,10325.02,1600942114.720027
Coinbase,eth_usd,328.43,1600942118.596412
Coinbase,btc_usd,10325.02,1600942118.699193
Coinbase,btc_eur,8888.78,1600942120.048012
Coinbase,btc_usd,10325.02,1600942123.418087
Coinbase,btc_usd,10325.02,1600942123.592873
Coinbase,eth_usd,328.46,1600942125.896828
Coinbase,eth_usd,328.47,1600942125.897979
Coinbase,eth_usd,328.49,1600942125.89897
